代码,名称,价格,涨跌幅(%),成交量,换手率(%),市值(亿)
sh600751,海航科技,2.95,3.15,91924455,3.57,75.91
sh600793,宜宾纸业,23.55,4.39,21923402,12.39,41.66
sh600810,神马股份,8.77,2.21,38323886,3.81,88.16
sh600961,株冶集团,10.28,1.98,25307262,3.37,77.29
sh603050,科林电气,17.27,6.28,10155865,2.52,69.65
sh603309,维力医疗,12.23,2.26,6362150,2.18,35.70
sh603323,苏农银行,5.52,2.22,59228236,3.23,101.29
sh603416,信捷电气,67.76,3.47,8640192,6.19,94.53
sh603790,雅运股份,18.93,3.39,6469173,3.38,36.22
sh603897,长城科技,30.01,4.82,26810025,12.99,61.95
sh603967,中创物流,12.06,3.25,19604190,5.66,41.81
sh605050,福然德,13.09,2.75,13701314,2.78,64.51
sh688096,京源环保,19.80,5.38,9839576,5.94,32.81
sh688186,广大特材,26.61,1.06,11721470,5.47,57.01
sh688776,国光电气,96.80,5.16,4663325,4.30,104.92
